City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
231,Sarkikaraagac,TR,38.0794,31.3664,56.84,82,60,3.2,broken clouds
232,Longyearbyen,SJ,78.2186,15.6401,39.04,87,100,2.3,overcast clouds
233,Maldonado,UY,-34.6667,-54.9167,47.59,91,2,3.44,clear sky
234,Vardo,NO,70.3705,31.1107,44.58,70,20,8.05,few clouds
235,Torbay,CA,47.6666,-52.7314,69.76,60,20,18.41,few clouds
236,Phan Thiet,VN,10.9333,108.1,77.83,87,74,3.18,broken clouds
237,Faanui,PF,-16.4833,-151.75,79.79,75,39,23.49,light rain
238,Belaya Gora,RU,68.5333,146.4167,68.7,32,7,9.75,clear sky
239,Tateyama,JP,34.9833,139.8667,72.1,71,100,12.57,overcast clouds
240,Nelson Bay,AU,-32.7167,152.15,52.0,77,4,3.0,clear sky
241,Lagoa,PT,39.05,-27.9833,61.79,79,17,24.63,few clouds
242,Saldanha,ZA,-33.0117,17.9442,57.25,91,100,16.4,light rain
243,Nanortalik,GL,60.1432,-45.2371,38.12,95,100,12.15,overcast clouds
244,Aksay,RU,47.26,39.87,72.25,59,1,11.99,clear sky
245,Yerbogachen,RU,61.2767,108.0108,56.73,58,100,3.74,overcast clouds
246,Ambanja,MG,-13.6833,48.45,68.83,76,7,4.16,clear sky
247,Diffa,NE,13.3154,12.6113,91.15,36,48,12.28,scattered clouds
248,Kpandae,GH,8.4689,-0.0113,74.91,78,41,5.37,scattered clouds
249,New Norfolk,AU,-42.7826,147.0587,44.71,86,61,1.01,broken clouds
250,Norman Wells,CA,65.282,-126.8329,41.04,93,100,13.8,light intensity shower rain
251,Raudeberg,NO,61.9875,5.1352,50.67,93,100,20.87,overcast clouds
252,Sechura,PE,-5.5569,-80.8222,69.08,66,26,17.94,scattered clouds
253,Biak,ID,-0.9131,122.8766,76.89,84,88,2.75,overcast clouds
254,Valparaiso,CL,-33.0393,-71.6273,53.47,87,75,3.44,mist
255,Severo-Kurilsk,RU,50.6789,156.125,45.3,86,39,9.1,scattered clouds
256,Turayf,SA,31.6725,38.6637,75.45,53,0,11.5,clear sky
257,Vicuna,CL,-30.0319,-70.7081,44.33,27,0,1.34,clear sky
258,Hohhot,CN,40.8106,111.6522,61.09,55,0,11.18,clear sky
259,Cururupu,BR,-1.8283,-44.8683,74.44,93,76,3.15,broken clouds
260,Beian,NO,63.6559,9.5683,53.01,87,75,3.44,broken clouds
261,Camacha,PT,33.0833,-16.3333,63.82,77,40,6.91,scattered clouds
262,Paamiut,GL,61.994,-49.6678,35.74,79,83,24.47,broken clouds
263,Guiglo,CI,6.5456,-7.4966,71.26,99,91,2.62,overcast clouds
264,Plettenberg Bay,ZA,-34.0527,23.3716,66.22,51,100,0.94,overcast clouds
265,Ust-Kan,RU,50.9276,84.761,56.35,96,87,4.92,light rain
266,Umm Lajj,SA,25.0213,37.2685,83.14,70,0,4.5,clear sky
267,Onguday,RU,50.75,86.15,58.5,87,91,2.3,overcast clouds
268,Calarasi,MD,47.2544,28.3081,68.32,93,5,8.72,clear sky
269,Gumdag,TM,39.2061,54.5906,79.5,30,1,7.16,clear sky
270,Saryozek,KZ,44.3583,77.9753,64.02,74,100,2.13,light rain
271,Marawi,PH,7.9986,124.2928,72.37,88,84,1.39,broken clouds
272,Pangnirtung,CA,66.1451,-65.7125,32.76,92,97,1.74,overcast clouds
273,Acapulco,MX,16.8634,-99.8901,84.65,68,37,9.24,scattered clouds
274,Kruisfontein,ZA,-34.0033,24.7314,67.89,35,100,5.84,overcast clouds
275,Pochutla,MX,15.7432,-96.4661,84.81,67,84,5.21,broken clouds
276,Benjamin Aceval,PY,-24.9667,-57.5667,50.59,61,0,3.31,clear sky
277,Mogadishu,SO,2.0371,45.3438,78.55,82,83,19.01,light rain
278,Daru,PG,-9.0763,143.2092,78.49,89,100,14.5,overcast clouds
279,Leningradskiy,RU,69.3833,178.4167,36.23,76,100,12.59,overcast clouds
280,Bedele,ET,8.456,36.353,55.45,93,56,3.09,light rain
281,Yulara,AU,-25.2406,130.9889,50.18,57,0,5.26,clear sky
282,Port-Gentil,GA,-0.7193,8.7815,76.96,94,40,2.3,scattered clouds
283,Rocha,UY,-34.4833,-54.3333,44.33,93,0,5.03,clear sky
284,Marzuq,YE,14.4,46.4667,81.27,21,100,4.85,overcast clouds
285,Manaure,CO,11.7751,-72.4445,84.09,66,100,18.68,overcast clouds
286,San Jeronimo,PE,-11.9472,-75.2829,50.79,68,5,6.67,clear sky
287,Nikolskoye,RU,59.7035,30.7861,58.89,95,95,3.04,overcast clouds
288,Vagur,FO,61.4732,-6.8119,48.27,94,84,16.2,broken clouds
289,Limbang,MY,4.75,115.0,77.11,97,99,2.3,overcast clouds
290,Ambilobe,MG,-13.2,49.05,66.72,85,24,3.47,few clouds
291,Rosario Oeste,BR,-14.8361,-56.4275,62.49,69,80,5.01,broken clouds
292,Teya,RU,60.3778,92.6267,60.28,88,92,2.95,overcast clouds
293,Lata,PT,40.1629,-8.3327,68.07,78,0,0.92,clear sky
294,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,94,100,11.5,overcast clouds
295,Axim,GH,4.8699,-2.2405,76.93,80,90,6.31,overcast clouds
296,London,GB,51.5085,-0.1257,62.35,57,43,11.5,scattered clouds
297,Bonfim,BR,3.0833,-59.95,73.22,90,90,4.74,overcast clouds
298,Berezovka,BY,53.7214,25.4993,50.36,88,55,3.65,broken clouds
299,Lompoc,US,34.6391,-120.4579,85.69,67,0,13.0,clear sky
300,Omboue,GA,-1.5746,9.2618,75.45,92,85,6.6,overcast clouds
301,Udachnyy,RU,66.4167,112.4,61.16,44,34,11.03,scattered clouds
302,Omaruru,NA,-21.4333,15.9333,57.22,48,0,6.53,clear sky
303,Ust-Kulom,RU,61.6864,53.6902,40.95,69,0,4.99,clear sky
304,Qaanaaq,GL,77.484,-69.3632,29.98,73,7,7.43,clear sky
305,Vanimo,PG,-2.6741,141.3028,79.45,86,33,6.08,scattered clouds
306,Yuancheng,CN,36.652,107.7896,66.87,19,0,3.85,clear sky
307,Katherine,AU,-14.4667,132.2667,57.52,35,5,6.91,clear sky
308,Wajir,KE,1.7471,40.0573,75.27,69,53,15.3,broken clouds
309,Mananara,MG,-16.1667,49.7667,66.02,85,40,7.7,scattered clouds
310,Narsaq,GL,60.9167,-46.05,48.42,93,99,3.02,overcast clouds
311,Champerico,GT,14.3,-91.9167,77.54,70,74,2.73,broken clouds
312,Ocos,GT,14.5094,-92.1933,82.0,72,75,4.59,broken clouds
313,Yagodnoye,RU,62.55,149.6667,53.44,50,15,0.81,few clouds
314,Maceio,BR,-9.6658,-35.7353,78.24,78,20,4.61,few clouds
315,Skibbereen,IE,51.55,-9.2667,54.1,80,54,11.05,broken clouds
316,Rio Abajo,HN,14.1667,-87.2167,68.23,93,75,3.44,broken clouds
317,Labuhan,ID,-6.8844,112.2051,77.59,88,97,5.3,overcast clouds
318,Warah,PK,27.4481,67.7978,90.45,45,16,5.82,few clouds
319,Ilo,PE,-17.6394,-71.3375,60.48,83,3,3.11,clear sky
320,Ghanzi,BW,-21.5667,21.7833,52.29,48,0,6.64,clear sky
321,Avera,US,33.194,-82.5271,93.25,44,75,6.33,broken clouds
322,Magdalena,PH,14.1999,121.429,83.35,88,100,2.46,overcast clouds
323,Kailua,US,21.4022,-157.7394,85.41,71,40,14.97,scattered clouds
324,Ahipara,NZ,-35.1667,173.1667,57.42,75,78,26.6,broken clouds
325,Nhamunda,BR,-2.1861,-56.7131,74.43,96,50,0.07,light rain
326,Kahului,US,20.8947,-156.47,84.22,72,40,27.63,scattered clouds
327,Uribia,CO,11.7139,-72.266,84.81,61,100,18.66,overcast clouds
328,Neustadt,DE,49.7117,12.0872,63.28,74,0,0.0,clear sky
329,Tame,CO,6.461,-71.73,71.92,95,89,3.02,overcast clouds
330,Erzin,TR,36.9559,36.2,67.03,88,12,3.85,few clouds
331,Buchanan,LR,5.8808,-10.0467,77.23,89,96,7.65,light rain
332,Valdivia,CL,-39.8142,-73.2459,48.29,90,100,2.06,overcast clouds
333,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,12.66,light rain
334,Itarema,BR,-2.9248,-39.9167,77.0,83,39,8.95,scattered clouds
335,Crixas,BR,-14.5489,-49.9692,74.64,49,72,6.82,broken clouds
336,Filadelfia,US,39.9523,-75.1638,78.01,79,75,12.66,broken clouds
337,Grants,US,35.1473,-107.8514,91.63,7,0,24.16,clear sky
338,Gasa,PS,31.5,34.4667,70.88,70,39,10.22,scattered clouds
339,Diamantina,BR,-18.2494,-43.6003,63.68,64,100,4.07,overcast clouds
340,Batticaloa,LK,7.7102,81.6924,80.31,78,100,5.55,overcast clouds
341,Syamzha,RU,60.0158,41.0614,48.2,74,15,5.28,few clouds
342,Maine-Soroa,NE,13.2114,12.0241,89.44,38,64,9.06,broken clouds
343,Pemberton,CA,50.3164,-122.8027,67.69,49,89,5.46,overcast clouds
344,Nome,US,64.5011,-165.4064,51.17,57,100,10.36,overcast clouds
345,Matay,EG,28.419,30.7792,79.32,53,0,11.3,clear sky
346,Kaeo,NZ,-35.1,173.7833,59.32,80,62,20.24,broken clouds
347,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,28,0,6.91,clear sky
